price,engine_volume,engine_power,engine_type,Коробка,Кузов,Привод,Пробег,Руль,Состояние,Таможня,Цвет,год выпуска
2 049 900,2.0,150,Бензин,вариатор,внедорожник 5 дв.,полный,107 000,Левый,Не требует ремонта,Растаможен,красный,2017
835 000,2.4,166,Бензин,автоматическая,внедорожник 5 дв.,полный,331 526,Левый,Не требует ремонта,Растаможен,серый,2008
550 000,1.8,140,Бензин,роботизированная,хэтчбек 5 дв.,передний,126 000,Левый,Не требует ремонта,Растаможен,красный,2008
765 000,2.4,201,Бензин,автоматическая,седан,передний,155 000,Левый,Не требует ремонта,Растаможен,красный,2008
300 000,1.6,105,Бензин,вариатор,внедорожник 5 дв.,полный,259 393,Левый,Не требует ремонта,Растаможен,чёрный,2000
985 000,1.8,142,Бензин,автоматическая,хэтчбек 5 дв.,передний,90 800,Левый,Не требует ремонта,Растаможен,коричневый,2012
799 000,3.5,257,Бензин,автоматическая,внедорожник 5 дв.,полный,107 000,Левый,Не требует ремонта,Растаможен,фиолетовый,2008
949 990,2.0,150,Бензин,автоматическая,внедорожник 5 дв.,полный,232 625,Левый,Не требует ремонта,Растаможен,серый,2008
380 000,1.8,140,Бензин,механическая,седан,передний,211 000,Левый,Не требует ремонта,Растаможен,золотистый,2007
465 000,1.8,140,Бензин,механическая,седан,передний,140 000,Левый,Не требует ремонта,Растаможен,чёрный,2007
665 000,1.5,120,Бензин,вариатор,универсал 5 дв.,передний,121 000,Правый,Не требует ремонта,Растаможен,серебристый,2013
1 057 000,2.4,166,Бензин,автоматическая,внедорожник 5 дв.,полный,137 322,Левый,Не требует ремонта,Растаможен,коричневый,2008
1 099 000,2.4,166,Бензин,автоматическая,внедорожник 5 дв.,полный,197 000,Левый,Не требует ремонта,Растаможен,серебристый,2010
1 649 000,2.4,166,Бензин,автоматическая,внедорожник 5 дв.,полный,30 205,Левый,Не требует ремонта,Растаможен,белый,2012
537 000,2.3,150,Бензин,автоматическая,компактвэн,передний,180 000,Правый,Не требует ремонта,Растаможен,серый,2002
